F1,R,P
0.8109709,0.8244368,0.7979379
0.849386,0.8645462,0.83474827
0.82034475,0.83449864,0.80666304
0.80320215,0.8292317,0.778757
0.8357222,0.83553624,0.8359083
0.8297276,0.83418006,0.8253224
0.81879026,0.82953656,0.8083188
0.8436285,0.8445508,0.84270835
0.8257128,0.83138126,0.8201213
0.8313404,0.8335741,0.8291185
0.818142,0.8161771,0.82011646
0.83325875,0.8340663,0.8324528
0.8214595,0.85554963,0.78998184
0.8328686,0.83514035,0.83060914
0.7905173,0.80212766,0.7792382
0.8057773,0.80741394,0.80414736
0.81709296,0.80650836,0.82795906
0.8087817,0.82305646,0.79499346
0.8272372,0.8295724,0.8249151
0.8251156,0.82246214,0.82778627
0.82722247,0.84306926,0.8119604
0.806766,0.8123296,0.80127805
0.8072826,0.81409025,0.8005881
0.8002964,0.81016487,0.7906655
0.8266459,0.8386665,0.81496507
0.81105196,0.80466485,0.8175413
0.81988627,0.8193009,0.8204725
0.80995077,0.80527586,0.81468034
0.80539685,0.80931336,0.8015181
0.8301825,0.831631,0.828739
0.818545,0.8354604,0.80230093
0.8219148,0.8233325,0.820502
0.81883115,0.8132448,0.82449484
0.83271724,0.82939017,0.83607095
0.8169353,0.83301055,0.80146885
0.82382613,0.8284506,0.81925297
0.83877236,0.84150225,0.83606017
0.8201085,0.8322512,0.80831504
0.799797,0.8126317,0.78736144
0.8274284,0.8377609,0.81734765
0.8125679,0.81767684,0.80752236
0.7883181,0.803859,0.7733667
0.81225145,0.8314233,0.7939439
0.8384149,0.8580595,0.81964976
0.8386465,0.84323525,0.8341074
0.8275798,0.8368367,0.81852543
0.8225136,0.8297643,0.8153884
0.83464557,0.84118956,0.82820266
0.8327442,0.84195393,0.8237337
0.8162721,0.8088594,0.8238218
0.81491905,0.82443327,0.8056219
0.8335859,0.8329611,0.83421165
0.8139738,0.82084453,0.80721706
0.8166317,0.8153773,0.81788987
0.82320213,0.82715976,0.81928223
0.82436097,0.82503694,0.823686
0.80952084,0.81745255,0.80174154
0.81478316,0.81978726,0.80983984
0.83160865,0.83890134,0.8244418
0.81624615,0.82213867,0.8104375
0.8226395,0.82701623,0.81830883
0.8286624,0.84351486,0.81432396
0.82094836,0.8243185,0.81760573
0.8232089,0.81546324,0.8311033
0.8358479,0.84558934,0.8263284
0.8223752,0.81840205,0.8263871
0.839087,0.8434716,0.83474773
0.8287948,0.83445966,0.8232063
0.80579716,0.8049773,0.8066187
0.82419354,0.8370965,0.81168234
0.80975497,0.81336045,0.8061814
0.82327545,0.8300014,0.81665766
0.816584,0.8199353,0.8132599
0.8094482,0.808911,0.8099861
0.82753307,0.8366056,0.818655
